aid,bvid,page,mid,title,author,publish_date,duration_sec,play_count,danmaku_count,comment_count,favorite_count,coin_count,share_count,like_count,tags,category,url,copyright,play_estimated
988260344,BV1a44y1Q7PL,1,88245314,腾讯IA绘画把【原神】画成【塞尔达】？米哈游玩家绷不住了~,风清凉QAQ,2022-12-03 19:42:17,169,130931,151,572,508,379,1456,5803,"二次元,日常,原神,整活,腾讯,AI绘画,游戏杂谈,塞尔达荒野之息,冒险游戏,米哈游",网络游戏,https://www.bilibili.com/video/BV1a44y1Q7PL,1,False
681753085,BV1XS4y1F7wz,1,1078211299,Ia大力神开箱，花了三万多，终于把变形金刚大力神的梦圆了！,Will种乐高,2022-02-27 19:33:11,377,129653,264,292,1213,395,651,4109,"玩具,大力神,手办模玩怎么玩？,哔哩哔哩手办大赏2021,变形金刚玩具,变形金刚,手办模玩",模玩·周边,https://www.bilibili.com/video/BV1XS4y1F7wz,1,False
115424276518741,BV1McsLzNEaS,1,19104670,【Sprunki胶】ⓘ该Garnold疑似使用IA技术合成🥽请谨慎融合,述琼不能琼,2025-10-24 18:30:00,132,127760,844,263,3616,313,83,2822,"sprunki,furry,Garnold,状态变化,火柴人,胶兽化,粘液化,transfur,transformation",绘画,https://www.bilibili.com/video/BV1McsLzNEaS,1,False
618628390,BV19h4y1A7HX,1,1707338283,ia 西医花十几万都治不好的病，不料竟被乡村老中医二十块钱治好了！,账号已注销,2023-09-21 08:13:23,342,78345,7,47,114,10,5,778,"医生,不好,西医,影视剪辑,乡村,老中医",影视杂谈,https://www.bilibili.com/video/BV19h4y1A7HX,1,False
114462002516747,BV1hCVszTEw1,1,33114953,AI生成《超级街霸2X》角色儿童化🎮🔥 | ChatGPT ＆ WAN 2.1 | 作者：IA IA OH,KG-Area21,2025-05-07 01:14:35,191,38233,222,74,151,13,68,576,"整活,街霸2,AI,超级街霸2X,儿童,人工智能,街头霸王,格斗游戏,娱乐,AI生成",单机游戏,https://www.bilibili.com/video/BV1hCVszTEw1,2,False
896958006,BV1hA4y1Z7WU,1,106138436,年轻人的第一台纯电车，15万左右，纯电续航超500km，你满意谁？,Go车情报员,2022-05-25 13:46:38,211,36178,4,19,29,8,23,99,"打卡挑战,飞凡ER6,广汽丰田iA5,秦PLUS",新能源车,https://www.bilibili.com/video/BV1hA4y1Z7WU,1,False
114545821487121,BV1qmJ6z3Ein,1,1955479987,《tiktok》起猛了IA看哈利波特主角团唱DJ《特别的爱》,是小格格子啊,2025-05-21 20:41:00,95,32728,2,14,38,11,69,255,"音乐,REACTION,人工智能,搞笑,魔性,tiktok,高能",搞笑,https://www.bilibili.com/video/BV1qmJ6z3Ein,1,False
92485020,BV1YE411H7Q3,1,10821371,【CRUSH/申孝燮】当crush搜索自己的名字·《本人登场》他也口吐莲花了▶︎Ɱia一人字幕组,Miascap,2020-02-29 13:19:04,284,32245,133,35,564,36,134,540,"fanxychild,韩国,RAPPER,申孝燮,SMTM,crush,Hippop",明星综合,https://www.bilibili.com/video/BV1YE411H7Q3,2,False
67177859,BV1UJ411N7jq,1,428097019,vivo NEX换屏教程 vivonex X23 X27 X21 X21IA拆机机更换内外触摸显示后盖电池屏幕总成,红树叶通讯-支持寄修,2019-09-09 19:28:23,1356,32234,4,20,92,13,71,67,"NEX,手机,安卓,VIVO手机,VIVO,测评,DIY,拆机,VIVONEX,黑科技",数码,https://www.bilibili.com/video/BV1UJ411N7jq,1,False
82151560,BV1pJ411L7CU,1,10821371,〖罗PD/综艺〗&lt;星期五星期五晚上&gt;剧透时间到！最新预告出炉「20200103」▶︎Ɱia一人字幕组,Miascap,2020-01-05 12:49:04,286,27622,63,52,73,30,104,215,"殷志源,winner,TVN,宋旻浩,KOREA相关,罗PD,新西游记,罗英锡,星期五星期五晚上,明星",明星综合,https://www.bilibili.com/video/BV1pJ411L7CU,2,False
