aid,bvid,page,mid,title,author,publish_date,duration_sec,play_count,danmaku_count,comment_count,favorite_count,coin_count,share_count,like_count,tags,category,url,copyright,play_estimated
112952724292712,BV1YwYkeEEiR,1,454465417,术 力 口 猜 歌 （像素版）——第二期,捏捏怪電波Zzz,2024/8/13 12:05,313,49650,533,49,741,54,17,1741,"IA,像素,亚北音留,2024虚拟歌手创作赛,术力口猜歌,Synthesizer V,重音teto,wowaka,初音ミク,虚拟歌手分享官,VOCALOID",VOCALOID·UTAU,https://www.bilibili.com/video/BV1YwYkeEEiR,1,False
794368781,BV1EC4y167aS,1,9833043,【P主人物志】你所不知道的じん与阳炎Project（上）,剑鱼818,2024/1/26 16:00,1630,51838,561,208,3591,2382,429,3991,"じん,阳炎,阳炎眩乱,IA,P主人物志,初音ミク,VOCALOID,阳炎project,自然之敌P",VOCALOID·UTAU,https://www.bilibili.com/video/BV1EC4y167aS,1,False
42302522,BV1Hb411k7xt,1,22647447,niconico超party2017,洛奇亚X,2019/2/1 9:15,1938,61205,889,85,2718,322,141,1567,"弱音,ia,镜音双子,niconico,VOCALOIDCHINA,MIKU,耳朵怀孕,现场,巡音",VOCALOID·UTAU,https://www.bilibili.com/video/BV1Hb411k7xt,1,False
745780066,BV1uk4y1P74c,1,14577351,【V家/术曲】全球音乐人气排行榜TOP100-51,小小佐仓千代,2023/9/9 9:30,11043,260239,2148,449,9031,4118,445,10537,"镜音,VOCALOID,初音未来,巡音,GUMI,洛天依,IA,V flower,术曲,虚拟歌手分享官,虚拟之声创作计划·2023第三期",VOCALOID·UTAU,https://www.bilibili.com/video/BV1uk4y1P74c,1,False
3117397,BV1Qs41127Pp,1,143328,NicoNico超Party 2015~VOCALOID/UTAU~部分,VOCALOID,2015/10/25 18:48,3780,227183,17455,1113,14598,2221,1886,2977,"VOCALOID,GUMI,神威がくぽ,初音ミク,巡音ルカ,NICONICO超PARTY,重音テト,鏡音リン・レン,ニコニコ超会议,IA",VOCALOID·UTAU,https://www.bilibili.com/video/BV1Qs41127Pp,2,False
999558726,BV1d44y1F74e,1,1925219843,【语调教｜跨语种】歌   姬   超    甜   自   我   介   绍,孙鸣阳-青岛超银,2023/8/11 17:00,98,210679,286,238,11099,1601,2341,14531,"VOCALOID,初音未来,镜音铃,虚拟歌姬,镜音连,IA,歌爱雪,语调教,糖果超甜,术力口",VOCALOID·UTAU,https://www.bilibili.com/video/BV1d44y1F74e,1,False
313346622,BV1PP41117tW,1,2081057111,【V家小课堂】|没听过IA的阳炎曲，都不是合格的术术人！,X11潮玩集合,2023/5/4 16:49,73,107551,46,97,2270,132,93,4548,"V家,VOCALOID,虚拟偶像,虚拟歌姬,阳炎,IA,自然之敌P,阳炎project",VOCALOID·UTAU,https://www.bilibili.com/video/BV1PP41117tW,1,False
115509068634811,BV1kS11B1EzY,1,695995695,盘点V家歌姬们的第一首周刊冠军曲,冰水L,2025/11/8 16:00,681,72965,84,50,3808,151,24,4464,"GUMI,镜音铃,V家,IA,虚拟歌姬,术力口,KAITO,初音未来,VOCALOID,镜音连",VOCALOID·UTAU,https://www.bilibili.com/video/BV1kS11B1EzY,1,False
616617442,BV1bh4y1c77T,1,9833043,【P主人物志】你所不知道的kemu/堀江晶太（上）,剑鱼818,2023/7/30 18:45,1210,73124,342,324,1690,817,343,2586,"GUMI,P主人物志,VOCALOID,IA,六兆年と一夜物語,堀江晶太,kemu,初音ミク",VOCALOID·UTAU,https://www.bilibili.com/video/BV1bh4y1c77T,1,False
115562856390208,BV1y2CYBGEhJ,1,87079759,来和绁星灯一起跳新宝岛罢~,源Kelvin,2025/11/17 11:15,97,59534,3,26,186,55,66,541,"东北切蒲英,俊达萌,弦卷真纪,ONE,MMD,IA,绁星灯,琴叶姐妹,结月缘,四国玫碳",VOCALOID·UTAU,https://www.bilibili.com/video/BV1y2CYBGEhJ,1,False
