aid,bvid,page,mid,title,author,publish_date,duration_sec,play_count,danmaku_count,comment_count,favorite_count,coin_count,share_count,like_count,tags,category,url,copyright,play_estimated
22326754,BV1gW411571f,1,135080,【#COMPASS 战斗天赋解析系统】KILLER B - 玛利亚角色专属曲,樱花大学陈西升,2018/4/20 15:18,206,75670,128,130,3371,380,614,1650,"KILLER B,IA,COMPASS,初音MIKU,GUMI,镜音RIN,战斗天赋解析系统,抹茶老师,巡音LUKA",VOCALOID·UTAU,https://www.bilibili.com/video/BV1gW411571f,2,False
461684052,BV1WL411H7PX,1,221801549,听说PJSK的六兆年很粪？那咱就来个加长版的！！！【Bang Dream加长还原谱】,桜灬嵐,2021-07-13 12:52:25,219,54599,136,151,372,77,145,1520,"音游,自制谱,IA,Project Sekai,魔王曲,六兆年,PJSk,邦邦,Bang Dream,游戏知识分享官",音游,https://www.bilibili.com/video/BV1WL411H7PX,1,False
233176591,BV1j8411B7pF,1,1924523,【电吉他/PJSK】アスノヨゾラ哨戒班(feat.星乃一歌) - Orangestar / Cover by Kira（Ride_ON）,Ride_ON_Channel,2023-09-06 23:49:56,181,43622,18,83,1148,531,156,2608,"术力口,Leo/need,VOCALOID,アスノヨゾラ哨戒班,音游,PJSK,电吉他,IA,Orangestar,星乃一歌",演奏,https://www.bilibili.com/video/BV1j8411B7pF,1,False
661932302,BV1eh4y1B7NT,1,40833350,【太鼓之达人】六兆年零一夜物语 全难易度谱面演示,ItzTao_zi,2023-10-08 19:35:00,142,27430,1,35,318,32,84,271,"太鼓之达人,太鼓达人,IA,物语,kemu,VOCALOID,谱面演示,六兆年,音游",音游,https://www.bilibili.com/video/BV1eh4y1B7NT,1,False
1404692668,BV1Gr421j7So,1,37218,【明日方舟MMD】Surges【Sour式空】【搬运】,Love-YUI,2024-05-16 19:00:00,147,19419,6,32,1358,44,61,1119,"Orangesta,初音ミク,IA,明日方舟,VOCALOID",MMD·3D,https://www.bilibili.com/video/BV1Gr421j7So,2,False
360081757,BV1KX4y1s7Wr,1,443043432,【太鼓达人】六兆年と一夜物語[里谱面] 全连手元,-牙刷还没睡觉-,2023-06-21 21:52:51,170,16167,4,69,55,80,28,808,"六兆年と一夜物語,IA,音乐游戏,太鼓达人,初音未来",音游,https://www.bilibili.com/video/BV1KX4y1s7Wr,1,False
116669062121112,BV1Z9VU6qEck,1,308075704,【太鼓达人】アスノヨゾラ哨戒班 99w全连,呱呱呱瓜瓜当当当,2026-05-31 20:05:36,149,38,0,0,0,2,0,9,"アスノヨゾラ哨戒班,虚拟歌手,IA,音乐游戏,太鼓达人,VOCALOID,街机游戏",单机游戏,https://www.bilibili.com/video/BV1Z9VU6qEck,3,False
116485032778658,BV1tg9UBEEY8,1,3546586816710980,【锁屏可打/EXPERT】Henceforth,セカイヘ,2026-04-29 07:59:51,130,389,0,3,2,0,0,14,"锁屏可打,录屏,IA,Henceforth,Project SEKAI,Orangestar,EX",音游,https://www.bilibili.com/video/BV1tg9UBEEY8,3,False
116463893682194,BV1MnoDBwEFf,1,399637392,【高松灯cos】雨声残响-世界企鹅日快乐-“因为我也不过是人啊 我也想要去与之抗衡”,硫酸拌面捏,2026-04-25 14:21:19,177,443,0,17,14,13,0,47,"IA,雨声,用宅舞记录这个春天,宅舞,高松灯,Cosplay,cos,雨声残响,舞蹈翻跳",宅舞,https://www.bilibili.com/video/BV1MnoDBwEFf,1,False
116395559951353,BV1K5QsBrEpm,1,19183755,六兆年と一夜物語 (标准谱面)MASTER 理论值ALL PERFECT【maimai】,茜茜莉Cicini,2026-04-13 12:46:58,145,187,0,0,0,0,0,15,"舞萌2025,必剪创作,舞萌DX,kemu,堀江晶太,IA,六兆年零一夜物语",日常,https://www.bilibili.com/video/BV1K5QsBrEpm,1,False
