aid,bvid,page,mid,title,author,publish_date,duration_sec,play_count,danmaku_count,comment_count,favorite_count,coin_count,share_count,like_count,tags,category,url,copyright,play_estimated
116404032375454,BV1myQ3BkEUU,1,622793100,这绝对是全网最爽的《明日夜空哨戒班》街头混音演奏Ver,夜樱飞雪,2026-04-15 00:39:04,50,756,0,4,30,5,1,113,"街头表演,IA,演奏,公共钢琴,兴业太古汇,明日夜空哨戒班,Orangestar,钢琴改编",演奏,https://www.bilibili.com/video/BV1myQ3BkEUU,1,False
116392422542309,BV164DXBGETG,1,622793100,大概是目前全网最高技术的《明日夜空哨戒班》钢琴翻弹,夜樱飞雪,2026-04-12 23:27:54,147,3938,1,64,258,145,26,640,"IA,翻弹,钢琴,明日夜空哨戒班,Orangestar,钢琴演奏",演奏,https://www.bilibili.com/video/BV164DXBGETG,1,False
116351821744023,BV1XSSDBREC9,1,2114203641,【明日的夜空哨戒班/钢琴翻弹】十年过去了，你还会为这首曲子点进来吗？,南城半夏,2026-04-05 19:21:16,70,1127,1,27,52,27,4,162,"全能音乐挑战赛,IA,蜜柑星p,术力口,明日的夜空哨戒班,古早,钢琴翻弹",演奏,https://www.bilibili.com/video/BV1XSSDBREC9,1,False
829450,BV1is411o7vx,1,146339,【8人大合唱！原创】354机甲少女骑士团【裕剑流】feat.洛天依/言和/初音ミク/镜音リン/镜音レン/GUMI/IA/,裕剑流P,2013/11/10 7:01,228,117015,3533,635,4461,2347,477,1786,"GUMI,IA,裕剑流,354机甲少女骑士团系列,VOCALOID,初音MIKU,镜音RIN,洛天依,言和,镜音LEN,VOCALOID中文曲",VOCALOID·UTAU,https://www.bilibili.com/video/BV1is411o7vx,1,False
114415428962693,BV1GhL2zkELY,1,196465220,【重音テトSV】ワンダードッグパレード（奇迹犬大游行）夏山よつぎ,きせき_kiseki,2025/4/28 22:00,161,48067,10,23,4238,375,47,1988,"重音テト,VOCALOID,虚拟之声创作计划,ワンダードッグパレード,夏山よつぎ,IA,音乐,虚拟之声创作计划·2025第二期,重音teto",VOCALOID·UTAU,https://www.bilibili.com/video/BV1GhL2zkELY,1,False
542578487,BV1Wi4y177JC,1,18149131,【IA】~钢琴版~ 华鸣之花【Overidea】,Overidea_China,2020/10/22 9:00,242,42132,39,209,1288,3907,171,6871,"华鸣之花,Overidea,日语,IA",VOCALOID·UTAU,https://www.bilibili.com/video/BV1Wi4y177JC,1,False
507956701,BV1tu411U7g5,1,6637972,【GUMI&amp;IA】群青，但是术力口,佐倉绫音Official,2022/1/3 20:01,246,33132,23,132,1226,588,117,2932,"IA,翻唱,调教,V家,群青,YOASOBI,2022新年音乐大作战,VOCALOID,GUMI,虚拟歌姬",VOCALOID·UTAU,https://www.bilibili.com/video/BV1tu411U7g5,1,False
598965,BV1Ms411f7AZ,1,94803,【150P】紅蓮的弓矢 - Vocaloid cover -【ミク、リン、レンGUMI、IA、MAYU】,等待呢歌,2013/6/11 18:18,93,31338,1065,58,617,56,29,60,"250P,不务正业系列,150P,KE-SANΒ,150你又卖萌,快去填书签坑啦,16,VOCALOID,MAYU,150,150俺嫁！,红莲的弓矢",VOCALOID·UTAU,https://www.bilibili.com/video/BV1Ms411f7AZ,2,False
51195708,BV114411x7ak,1,7398042,【IA】小时候 日语版【跨时空救兵预热】,焰华Honoka55,2019/5/2 19:54,171,27064,32,48,167,27,10,368,"小时候,IA,日语,喜羊羊与灰太狼",VOCALOID·UTAU,https://www.bilibili.com/video/BV114411x7ak,1,False
397870447,BV1oo4y1b7z1,1,8827936,【IA/描改手书】强风大背头（強風オールバック）,裂舍Yume,2023/4/24 0:00,137,21855,142,134,1136,811,115,2278,"虚拟之声创作计划·2023第一期,描改手书,音乐,IA,VOCALOID,虚拟之声创作计划,強風オールバック,IA小天使,VOCALOID·UTAU,强风大背头,手书",VOCALOID·UTAU,https://www.bilibili.com/video/BV1oo4y1b7z1,1,False
20428352,BV1ZW411x7Yi,1,6287401,【VOCALOID12人中日语合唱】Blessing【飞梦ACG联盟20周年】,星韵社,2018/3/6 11:03,274,20538,562,201,1418,726,165,867,"乐正龙牙,IA,心华,VY1,巡音LUKA,乐正绫,言和,洛天依,镜音RIN,镜音LEN",VOCALOID·UTAU,https://www.bilibili.com/video/BV1ZW411x7Yi,1,False
26745724,BV1Ms411J7SU,1,10996289,【夏语遥/IA】在没有你的世界里无论声音还是颜色都不存在【周小蚕】,周小蚕,2018/7/13 11:11,291,12689,73,174,941,269,67,958,"夏语遥,周小蚕,IA,君のいない世界には音も色もない,UTAU,VOCALOID,翻唱",VOCALOID·UTAU,https://www.bilibili.com/video/BV1Ms411J7SU,1,False
61027850,BV1yt411P7LL,1,38085892,【试着唱了】残酷な天使のテーゼ 【ONE】,IA小天使OFFICIAL,2019/7/27 20:38,251,11004,89,116,626,789,103,1065,"MV,恩奈,out of service,CeVIO,残酷的天使纲领,EVA,OИE,新世纪福音战士,IA小天使OFFICIAL,ONE",VOCALOID·UTAU,https://www.bilibili.com/video/BV1yt411P7LL,1,False
113095347274060,BV16Zp4etEa8,1,4944391,AI千早爱音 - DAYBREAK FRONTLINE (黎明前线) / RAISE A SUILEN、Orangestar feat. IA,巫医可疑,2024/9/8 6:00,216,10799,2,34,229,56,35,359,"还是英语好念,BanG Dream!,车是mmk开的,SV ANON,日语有点烫嘴,MyGO!!!!!,吉他主唱生日快乐,RAS,武士道 我们RAS的剧情不是写的挺猛的吗,怎么到AG的剧情这块就拉胯了",VOCALOID·UTAU,https://www.bilibili.com/video/BV16Zp4etEa8,1,False
2380336,BV1js411U7Zi,1,529083,【IA  ROCKS】权御天下日文版【哈士奇cover】,哈士奇P,2015/5/30 16:14,107,9939,170,71,249,63,27,40,"权御天下,可惜太短,VOCALOID,IA ROCKS",VOCALOID·UTAU,https://www.bilibili.com/video/BV1js411U7Zi,1,False
229809729,BV1Qh411T7Cp,1,668349665,生日，所以用miku给自己调了首《雨き声残響》,一只非常正常喵,2023/6/15 11:40,172,8938,16,258,603,269,18,1415,"VOCALOID,初音ミク,miku,Orangestar,虚拟歌手,雨き声残響,COVER,IA",VOCALOID·UTAU,https://www.bilibili.com/video/BV1Qh411T7Cp,1,False
1198784,BV1Wx411T7NH,1,929880,【IA】恋爱裁判,kinokouw,2014/6/14 12:36,230,7642,198,13,141,11,13,14,"40MP,IA,恋爱裁判,VOCALOID,翻唱,SELIO,カバー",VOCALOID·UTAU,https://www.bilibili.com/video/BV1Wx411T7NH,1,False
1083716,BV1Zx411K7rU,1,400212,【IA】days -目隐都市演绎者ED【cover】,布长,2014/4/25 19:23,89,6563,152,13,128,51,14,16,"目隐都市演绎者,メカクシティアクターズ,ED,DAYS,自己翻自己,IA女神,VOCALOID",VOCALOID·UTAU,https://www.bilibili.com/video/BV1Zx411K7rU,1,False
1994330,BV1Wx411A7ta,1,2133633,【IA】进击的巨人OP1 红莲的弓矢 完整版【dj-Jo】,Raime雾雨,2015/2/13 12:54,321,5649,61,9,80,6,9,12,"IA,REMIX,VOCALOID,进击的巨人",VOCALOID·UTAU,https://www.bilibili.com/video/BV1Wx411A7ta,2,False
768458,BV1fs411f736,1,1945215,【IA】莫扎特魔笛——夜之女王的咏叹调,kyoakeve,2013/9/22 10:15,172,5563,77,18,136,24,39,62,"OPERA,AV370034,IA,BOBALLEE,MOZART,VOCALOID,神调教",VOCALOID·UTAU,https://www.bilibili.com/video/BV1fs411f736,2,False
632744669,BV1Zb4y1m7MK,1,249184337,米津玄師 -『死神』（Covered by IA）,夏目ひさめ,2021/8/27 11:31,119,5331,2,2,9,11,7,35,"米津玄师,米津玄師,IA,死神",VOCALOID·UTAU,https://www.bilibili.com/video/BV1Zb4y1m7MK,1,False
116316119764748,BV1ZYXdBQENN,1,7612227,反 诈 宣 传,鋼鉄ノ鳥,2026/4/1 0:00,213,4800,0,14,139,13,12,315,"IA,never gonna give you,你被骗了",VOCALOID·UTAU,https://www.bilibili.com/video/BV1ZYXdBQENN,1,False
116590192427407,BV1PhLp6LELz,1,200066507,【翻调】魔法时刻 - カゼヒキV feat. 初音ミク&amp;IA,小绵羊magens,2026/5/17 21:45,34,2023,0,21,73,37,3,369,"IA,洛克王国世界正式上线,カゼヒキV,魔法时刻,COVER,VOCALOID,初音ミク,洛克王国",VOCALOID·UTAU,https://www.bilibili.com/video/BV1PhLp6LELz,1,False
116577945061092,BV1t55v6DEoR,1,26268927,挑战全网最还原橙味的IA翻调！Petals【Orangestar】,冬野霧中_Fuyuno,2026/5/15 18:00,186,1696,24,57,122,106,19,259,"夏背,IA,COVER,翻唱,VOCALOID,术力口二次元音乐大赛二创,Petals,春夏秋冬代行者,术力口,Orangestar",VOCALOID·UTAU,https://www.bilibili.com/video/BV1t55v6DEoR,1,False
115983310325534,BV1dH6vB4Egu,1,7612227,【IA】山雀【ACE cover】,鋼鉄ノ鳥,2026/1/30 17:22,199,341,0,4,17,8,0,28,"万能青年旅店,IA,COVER,ACE",VOCALOID·UTAU,https://www.bilibili.com/video/BV1dH6vB4Egu,1,False
115885029198374,BV1E4rBBCEXW,1,3092339,IA 入坑曲重调计划 - Changes（yuxuki waga）,晴海再不画画就剁手,2026/1/13 8:47,314,1361,0,29,92,69,9,155,"翻唱总动员,yuxuki waga,IA,VOCALOID",VOCALOID·UTAU,https://www.bilibili.com/video/BV1E4rBBCEXW,1,False
115575338568631,BV17JyEBtEpq,1,7612227,【IA】团结的人民永不被击溃【西班牙语 cover】,鋼鉄ノ鳥,2025/11/19 16:12,186,872,2,9,29,23,8,94,IA,VOCALOID·UTAU,https://www.bilibili.com/video/BV17JyEBtEpq,1,False
270019,BV1Kx411F7jj,1,197,【IA】胆小鬼蒙布朗【VOCALOID翻唱】,上甘玲Official,2012-05-19 22:54:31,242,2239,30,5,21,1,9,4,"胆小鬼蒙布朗,IA,VOCALOID,VOCALOID翻唱",VOCALOID·UTAU,https://www.bilibili.com/video/BV1Kx411F7jj,2,False
4183022,BV1us411X7wN,1,22936070,【IA】 悲惨世界的雫 （senya森永真由美）【翻唱】,阿绫我媳妇,2016-03-25 16:26:07,291,754,6,9,12,12,10,3,"IA,SENYA,翻唱,森永真由美,ミゼラブルの雫",VOCALOID·UTAU,https://www.bilibili.com/video/BV1us411X7wN,1,False
113775394953481,BV1ZhrNYHEwd,1,17203193,【俊达萌】六兆年と一夜物語（NEUTRINO&amp;CeVIO AI cover）,九条小勾,2025-01-05 19:00:40,221,561,0,10,24,15,2,43,"CeVIO AI,COVER,虚拟之声创作计划·2024第四期,ずんだもん,让虚拟歌手为你唱,六兆年と一夜物語,IA,俊达萌,翻唱,NEUTRINO,KEMU",VOCALOID·UTAU,https://www.bilibili.com/video/BV1ZhrNYHEwd,1,False
13268749,BV19x411n7x1,1,9630580,【IA结月缘翻唱】月灯り【斩·赤红之瞳ED】【反常函数p】,小鸟游凉介OvO,2017-08-12 14:34:45,127,314,0,5,6,4,11,4,"翻唱,结月缘,IA,VOCALOID",VOCALOID·UTAU,https://www.bilibili.com/video/BV19x411n7x1,1,False
