aid,bvid,page,mid,title,author,publish_date,duration_sec,play_count,danmaku_count,comment_count,favorite_count,coin_count,share_count,like_count,tags,category,url,copyright,play_estimated
246099,BV1ax411w7gM,1,215715,【IA】六兆年と一夜物語【kemu】,Lynn_Campbell_,2012/4/11 19:19,220,1927007,6052,2958,90792,15626,9315,68762,"KE-SANΒ,VOCALOID3,KEMU,IA,SM17520775,神字,VOCALOID,六兆年と一夜物语",VOCALOID·UTAU,https://www.bilibili.com/video/BV1ax411w7gM,2,False
923833,BV1Ns411Z7Ym,25,170701,【IA】 影炎≒Variation 【やいり】,日進月步,2014/1/22 23:52,64843,6152,6923,169,6049,177,66,219,"分P狂魔,NEKOBOLO,UP主辛苦,VOCALOID,作业用,作业用BGM,VOCALOID殿堂入り,下载22L,IA",VOCALOID·UTAU,https://www.bilibili.com/video/BV1Ns411Z7Ym,2,True
923833,BV1Ns411Z7Ym,46,170701,【IA】夜咄ディセイブ/夜咄DECEIVE【じん（自然の敵P）】,日進月步,2014/1/22 23:52,64843,6152,6923,169,6049,177,66,219,"分P狂魔,NEKOBOLO,UP主辛苦,VOCALOID,作业用,作业用BGM,VOCALOID殿堂入り,下载22L,IA",VOCALOID·UTAU,https://www.bilibili.com/video/BV1Ns411Z7Ym,2,True
923833,BV1Ns411Z7Ym,88,170701,【GUMI+IA】　不毛！　【ぽてんしゃる0】,日進月步,2014/1/22 23:52,64843,6152,6923,169,6049,177,66,219,"分P狂魔,NEKOBOLO,UP主辛苦,VOCALOID,作业用,作业用BGM,VOCALOID殿堂入り,下载22L,IA",VOCALOID·UTAU,https://www.bilibili.com/video/BV1Ns411Z7Ym,2,True
2168396,BV1ws411D7RB,3,4225333,孩童记录(Children Record/チルドレンレコード)-IA;ONE【PV】,Grandom,2015/4/1 22:27,12144,32808,17724,5989,93208,18440,17620,44011,"官方合集,カゲロウプロジェクト,初音ミク,IA,じん(自然の敵P),失想ワアド,目隐都市的演绎者,惊异的中毒性,阳炎PROJECT",VOCALOID·UTAU,https://www.bilibili.com/video/BV1ws411D7RB,2,True
2168396,BV1ws411D7RB,7,4225333,耳机演绎者(Headphone Actor/ヘッドフォンアクター)-IA【PV】,Grandom,2015/4/1 22:27,12144,32808,17724,5989,93208,18440,17620,44011,"官方合集,カゲロウプロジェクト,初音ミク,IA,じん(自然の敵P),失想ワアド,目隐都市的演绎者,惊异的中毒性,阳炎PROJECT",VOCALOID·UTAU,https://www.bilibili.com/video/BV1ws411D7RB,2,True
2168396,BV1ws411D7RB,23,4225333,茉莉的架空世界(マリーの架空世界)-IA + 哭泣序曲(クライングプロローグ),Grandom,2015/4/1 22:27,12144,32808,17724,5989,93208,18440,17620,44011,"官方合集,カゲロウプロジェクト,初音ミク,IA,じん(自然の敵P),失想ワアド,目隐都市的演绎者,惊异的中毒性,阳炎PROJECT",VOCALOID·UTAU,https://www.bilibili.com/video/BV1ws411D7RB,2,True
591211537,BV12q4y197vw,1,65048307,【4K超高清】アスノヨゾラ哨戒班（明日的夜空哨戒班）,SILVIA____,2021/10/22 18:35,177,1593799,1479,2785,60342,10142,11619,48138,"IA,日语,V家,VOCALOID,虚拟歌手,4K,アスノヨゾラ哨戒班,orangestar",VOCALOID·UTAU,https://www.bilibili.com/video/BV12q4y197vw,2,False
553725733,BV1Gv4y1K7yY,1,352189274,"【原版】初音ミク、镜音リン、巡音ルカ、GUMI、IA - 威風堂々【オリジナルver, 梅とら】",春娇与志明,2024/1/30 16:19,201,1321869,4288,3136,74924,10469,23843,75992,"巡音ルカ,VOCALOID,初音未来,原版,镜音リン,经典,GUMI,威风堂堂,IA,虚拟歌手",VOCALOID·UTAU,https://www.bilibili.com/video/BV1Gv4y1K7yY,2,False
116085886029950,BV1rQZyBBEj8,1,1829236187,【官方投稿】特別救済委員会 / 初音ミク・GUMI・IA・Flower・可不・重音テトSV,サツキ_Official,2026/2/19 17:00,187,842234,1468,2650,63602,13884,3672,79269,"初音ミク,VOCALOID,GUMI,IA,サツキ,可不,KAFU,全能音乐挑战赛,重音テトSV,Atena",VOCALOID·UTAU,https://www.bilibili.com/video/BV1rQZyBBEj8,1,False
114359242069801,BV1pv5EzGEan,1,2705870,【IA/初音ミク/中译版】奇迹犬大游行/ワンダードッグパレード（BY： 夏山よつぎ / ネコロジック）,苏维埃冰棺中的伊利亚,2025/4/18 21:40,161,962365,847,752,40171,5194,5277,45020,"初音ミク,VOCALOID,初音未来,IA,VOCALOID·UTAU,Miku,Hatsune Miku,术力口,夏山よつぎ,ワンダードッグパレード",VOCALOID·UTAU,https://www.bilibili.com/video/BV1pv5EzGEan,2,False
336334817,BV1BR4y177zE,1,62880505,【CEVIOAI(IA】脳内disco【r-906】,rotbala,2021/10/27 18:02,219,521982,175,510,19779,1998,3170,12135,"VOCALOID,r-906,ノウナイディスコ,IA,CEVIO",VOCALOID·UTAU,https://www.bilibili.com/video/BV1BR4y177zE,2,False
925780941,BV1QT4y1u795,2,797614,Henceforth ／ Orangestar feat.IA,阿赫official,2020/5/21 18:00,474,278797,984,1698,25558,7437,7327,20374,"Orangestar,VOCALOID,ルワン,IA,Henceforth",VOCALOID·UTAU,https://www.bilibili.com/video/BV1QT4y1u795,2,True
115779852832764,BV1QHBXBaEqU,1,797614,【中文CC字幕】【IA :[R]】シリーテラー（Silly Terror）【r-906】,阿赫official,2025/12/25 19:10,181,350953,391,1051,21981,3163,5559,20571,"VOCALOID,IA,r-906,VOCALOID6,シリーテラー",VOCALOID·UTAU,https://www.bilibili.com/video/BV1QHBXBaEqU,2,False
55726180,BV1R4411V7jA,1,98996651,【GUMI Feat.IA、Fukase】絶体絶命（Cover：阿良良木健/洛天依）,BugP_滑稽樹,2019/6/16 4:13,217,390157,447,455,14362,8640,494,13913,"GUMI,Megpoid,翻调,新人,IA,VOCALOID,绝体绝命,FUKASE",VOCALOID·UTAU,https://www.bilibili.com/video/BV1R4411V7jA,1,False
