bvid,page,title,tags,song_name,vocal_singer
BV1Qi7SzXE8K,1,Wonderdogs&#x27; Parade / IA &amp; MIKU,"初音ミク,VOCALOID",Wonderdogs&#x27; Parade / IA &amp; MIKU,IA
BV1ns411o7PQ,1,【ルカ ミク グミ IA リン】虎视眈眈,"GUMI,梅绅士,四字熟语系列,虎视眈眈,VOCALOID",虎视眈眈,IA
BV1cx411c7go,1,【IA】夜咄DECEIVE,"VOCALOID,JIN,じん（自然の敌P）,しづ,KANO,IA_-ARIA_ON_THE_PLANETES-_,目隐都市的演绎者",夜咄DECEIVE,IA
BV1ps411f7oj,1,【IA】夕景yesterday,"JIN,UP主求嫁,遥贵,池面人生,VOCALOID,じん（自然の敌P）,IA,夕景イエスタデイ",夕景yesterday,IA
BV14441187Yo,1,6th sense / たべっこ feat.IA (Music Video),"VOCAROCK,日本,IA,たべっこ,はなけん,しとお,音乐",6th sense / たべっこ (Music Video),IA
BV13t411V7pX,1,鳥の詩 -IA version-,"V家,IA,Vocaloid,IA小天使,伊爱,イア,IA小天使OFFICIAL,鸟之诗,鳥の詩,LIA",鳥の詩 -IA version,IA
BV1Gx411F7PS,1,【IA】我在找弟弟的A片的时候他带女朋友回来,"弟のエロDVD渔ってたら彼女连れて帰ってきた,さいたまにすと,SM17911956,VOCALOID,IA",我在找弟弟的A片的时候他带女朋友回来,IA
BV16o4y1176J,1,重奏オルレアン／IA・初音ミク,"初音MIKU,IA",重奏オルレアン/IA・初音ミク,IA
BV16o4y1176J,2,重奏オルレアン／IA・初音ミク - ニコニコ動画,"初音MIKU,IA",重奏オルレアン/IA・初音ミク - ニコニコ動画,IA
BV1st41197xJ,1,超会议2018 IA 哨戒班,"VOCALOIDCHINA,演唱会,超会议,音乐,IA",超会议2018 IA 哨戒班,IA
BV1G3JPzcEgm,1,〖中文字幕〗ワンダードッグパレー／奇迹犬的大游行 夏山よっぎ／IA／初音ミク,"初音ミク,中文字幕,VOCALOID",〖中文字幕〗ワンダードッグパレー/奇迹犬的大游行 夏山よっぎ/IA/初音ミク,IA
BV1q6ZeBKEum,1,【初音/重音/可不/IA/GUMI/Flower/中译版】特別救济委员会（BY：サツキ和Atena）,"初音ミク,VOCALOID,重音テト,GUMI,IA,VOCALOID·UTAU,Flower,术力口,可不",特別救济委员会(BY:サツキ和Atena),IA
BV1mh411J7iF,1,威風堂々（威风堂堂）+WAVE－（中文字幕）,"初音未来,GUMI,VOCALOID,IA,巡音流歌,镜音铃",威風堂々(威风堂堂)+WAVE-(中文字幕),IA
BV1Hz4y157vq,1,IA GLOWB「INTERGALACTIA」MV,"MV,日语MV,我的MV我做主,IA GLOWB,INTERGALACTIA,我的MV我做主3.0,IA INTERGALACTIA",IA GLOWB「INTERGALACTIA」MV,IA
BV16W411g7YX,1474,少年は教室がきらいだったのだ／歌、IA_sm16429950,"MAYU,MEIKO,巡音ルカ,結月ゆかり,VOCALOID殿堂入り,初音ミク,鏡音リン,IA,GUMI",少年は教室がきらいだったのだ/歌、IA_sm16429950,IA
BV16W411g7YX,1518,IAオリジナル曲　『Ref-Rain』_sm16805471,"MAYU,MEIKO,巡音ルカ,結月ゆかり,VOCALOID殿堂入り,初音ミク,鏡音リン,IA,GUMI",IAオリジナル曲 『Ref-Rain』_sm16805471,IA
BV16W411g7YX,1523,VOCALOID3 IA「blessed child」(オリジナル曲)_sm16817021,"MAYU,MEIKO,巡音ルカ,結月ゆかり,VOCALOID殿堂入り,初音ミク,鏡音リン,IA,GUMI",VOCALOID3 IA「blessed child」(オリジナル曲)_sm16817021,IA
BV16W411g7YX,1608,君はいなせなガール／歌、IAとmiki_sm17536640,"MAYU,MEIKO,巡音ルカ,結月ゆかり,VOCALOID殿堂入り,初音ミク,鏡音リン,IA,GUMI",君はいなせなガール/歌、IAとmiki_sm17536640,IA
BV16W411g7YX,1630,釘バットギャングの日常～下北編～／歌、IA_sm17656208,"MAYU,MEIKO,巡音ルカ,結月ゆかり,VOCALOID殿堂入り,初音ミク,鏡音リン,IA,GUMI",釘バットギャングの日常~下北編~/歌、IA_sm17656208,IA
BV16W411g7YX,1671,サカナ暮らし／歌、IAとmiki_sm18016451,"MAYU,MEIKO,巡音ルカ,結月ゆかり,VOCALOID殿堂入り,初音ミク,鏡音リン,IA,GUMI",サカナ暮らし/歌、IAとmiki_sm18016451,IA
BV16W411g7YX,1692,IAオリジナル曲 『Re;BIRTH』_sm18185556,"MAYU,MEIKO,巡音ルカ,結月ゆかり,VOCALOID殿堂入り,初音ミク,鏡音リン,IA,GUMI",IAオリジナル曲 『Re;BIRTH』_sm18185556,IA
BV16W411g7YX,1819,魔法電車とキライちゃん／歌、IAとmiki_sm19098494,"MAYU,MEIKO,巡音ルカ,結月ゆかり,VOCALOID殿堂入り,初音ミク,鏡音リン,IA,GUMI",魔法電車とキライちゃん/歌、IAとmiki_sm19098494,IA
BV16W411g7YX,1938,ばいばいスーパースター／歌、IA_sm19923618,"MAYU,MEIKO,巡音ルカ,結月ゆかり,VOCALOID殿堂入り,初音ミク,鏡音リン,IA,GUMI",ばいばいスーパースター/歌、IA_sm19923618,IA
BV16W411g7YX,1962,リスタート feat.結月ゆかり、IA_sm20080773,"MAYU,MEIKO,巡音ルカ,結月ゆかり,VOCALOID殿堂入り,初音ミク,鏡音リン,IA,GUMI",リスタート,IA
